X synt_h0 synt_h1000 synt_h2000 synt_h3000 synt_h4000 synt_h4500 synt_h4800 1000m_nonregDC 2000m_nonregDC 3000m_nonregDC 4000m_nonregDC 4500m_nonregDC 4800m_nonregDC
0 0.0041633 0.0033426 0.002514 0.0016793 0.0008407 0.00042 0.0001682 0.00230801 -0.00309749 -0.06214178 -1.056769 -4.511297 -10.85993
1000 0.004334 0.0034803 0.0026177 0.0017488 0.0008756 0.000438 0.0001751 0.002948875 0.004198162 0.05289653 0.977825 4.261137 10.34514
2000 0.0045153 0.0036263 0.002728 0.0018227 0.0009125 0.000456 0.0001826 0.002957208 -0.0002048897 -0.03925599 -0.8176297 -3.686654 -9.09964
3000 0.0047083 0.0037819 0.0028454 0.0019013 0.0009519 0.000476 0.0001904 0.003214384 0.002717727 0.02809982 0.6427645 3.017485 7.596244
4000 0.0049137 0.0039477 0.0029705 0.001985 0.000994 0.000497 0.0001989 0.003351185 0.001116879 -0.01983788 -0.5009783 -2.42043 -6.193058
5000 0.0051328 0.0041245 0.003104 0.0020745 0.0010387 0.00052 0.0002078 0.003570133 0.002459572 0.01516648 0.3872789 1.925981 5.002335
6000 0.0053667 0.0043132 0.0032466 0.00217 0.0010867 0.000544 0.0002174 0.00375105 0.001786846 -0.01065653 -0.3066176 -1.5474 -4.058729
7000 0.0056168 0.0045152 0.0033991 0.0022724 0.001138 0.000569 0.0002277 0.003976997 0.002578266 0.009310974 0.2429133 1.250023 3.311347
8000 0.0058847 0.0047316 0.0035628 0.002382 0.001193 0.000597 0.0002388 0.004192069 0.002284042 -0.006126902 -0.199004 -1.028811 -2.738032
9000 0.006172 0.0049639 0.0037383 0.0024997 0.0012519 0.000626 0.0002504 0.004440989 0.002857006 0.006564853 0.1625975 0.8517837 2.281748
10000 0.0064806 0.0052135 0.0039272 0.0026264 0.0013156 0.000658 0.0002633 0.004690274 0.002743153 -0.003630983 -0.1375117 -0.7193186 -1.929139
11000 0.006813 0.0054823 0.0041307 0.0027628 0.0013841 0.000692 0.000277 0.004973056 0.003228145 0.005175834 0.1149199 0.6075149 1.637949
12000 0.0071711 0.0057723 0.0043502 0.0029102 0.001458 0.000729 0.0002918 0.005263655 0.003237292 -0.001934822 -0.09900056 -0.5225917 -1.408752
13000 0.007558 0.0060859 0.0045876 0.0030695 0.0015382 0.000769 0.0003078 0.005586828 0.003669002 0.004394853 0.08406238 0.4476404 1.213026
14000 0.0079769 0.0064254 0.0048449 0.0032424 0.001625 0.000813 0.0003253 0.005928673 0.003782388 -0.0006912671 -0.07365723 -0.3916446 -1.059312
15000 0.0084312 0.0067939 0.0051244 0.0034302 0.0017193 0.00086 0.0003442 0.006305453 0.004210502 0.00412042 0.06387776 0.3399909 0.9233914
16000 0.0089249 0.007195 0.0054287 0.0036347 0.0018221 0.000912 0.0003648 0.006707195 0.004395385 0.0002678306 -0.05633962 -0.3006482 -0.8142477
17000 0.0094631 0.0076322 0.0057608 0.0038581 0.0019344 0.000968 0.0003873 0.007152321 0.004850179 0.004065959 0.04903734 0.2608144 0.7104541
18000 0.0100507 0.0081103 0.0061241 0.0041025 0.0020573 0.001029 0.0004119 0.00763157 0.005127159 0.001282633 -0.04219868 -0.2293112 -0.6247717
19000 0.0106942 0.0086344 0.0065225 0.0043709 0.0021923 0.001097 0.0004389 0.008160457 0.005602808 0.004080257 0.03659245 0.1969898 0.5417192
20000 0.0114009 0.0092104 0.0069612 0.0046664 0.002341 0.001172 0.0004687 0.008739549 0.005998903 0.002331145 -0.03068531 -0.1730994 -0.4770937
21000 0.0121789 0.0098457 0.0074452 0.0049929 0.0025054 0.001254 0.0005016 0.009377009 0.006521976 0.004357323 0.02768636 0.1501603 0.4170428
22000 0.0130386 0.0105485 0.0079812 0.0053547 0.0026877 0.001345 0.0005381 0.0100828 0.007035725 0.003272691 -0.02319769 -0.1351925 -0.3751461
23000 0.0139912 0.0113284 0.0085771 0.0057571 0.0028903 0.001447 0.0005788 0.01086486 0.007662781 0.004999794 0.02284118 0.1209493 0.3357311
24000 0.0150507 0.0121973 0.0092415 0.0062065 0.003117 0.00156 0.0006244 0.01173548 0.008301539 0.004207666 -0.01886859 -0.1118852 -0.3096659
25000 0.0162333 0.0131692 0.009986 0.0067103 0.0033712 0.001688 0.0006752 0.01270955 0.009081378 0.00591644 0.02025223 0.1022944 0.2815154
26000 0.0175585 0.0142607 0.0108236 0.007278 0.0036579 0.001831 0.0007328 0.01380119 0.009887297 0.005337147 -0.01558249 -0.09502185 -0.2619792
27000 0.0190499 0.015492 0.0117702 0.0079206 0.0039827 0.001994 0.0007981 0.01503398 0.01086704 0.00706289 0.01824009 0.08724348 0.2380481
28000 0.0207359 0.0168877 0.0128458 0.0086517 0.0043526 0.00218 0.0008722 0.01642938 0.01191328 0.006785241 -0.01235218 -0.08014196 -0.2208937
29000 0.0226512 0.0184783 0.0140743 0.0094885 0.0047764 0.002392 0.0009574 0.01802021 0.01316887 0.008568258 0.01664673 0.07377907 0.1990649
30000 0.0248385 0.0203011 0.0154867 0.0104524 0.0052653 0.002638 0.0010556 0.01984165 0.01454857 0.008618564 -0.009116002 -0.06587207 -0.1816767
31000 0.0273505 0.022403 0.0171204 0.0115699 0.0058331 0.002923 0.0011697 0.0219444 0.01621353 0.01058292 0.01497779 0.05905948 0.1572432
32000 0.0302523 0.0248429 0.0190241 0.0128762 0.0064977 0.003256 0.0013032 0.02438112 0.01808477 0.01116821 -0.004355779 -0.04727037 -0.1337606
33000 0.0336267 0.0276958 0.02126 0.0144154 0.0072822 0.003651 0.0014612 0.02723171 0.02032948 0.01319917 0.01203882 0.03897807 0.1040512
34000 0.0375783 0.031058 0.0239091 0.0162462 0.0082179 0.004121 0.0016496 0.03059097 0.02296679 0.01474208 0.002102151 -0.02409056 -0.07659086
35000 0.0422407 0.0350552 0.0270783 0.0184465 0.0093458 0.004689 0.0018772 0.03458355 0.0261183 0.01696982 0.009234668 0.01739061 0.04707487
