X,synt_h0,synt_h1000,synt_h2000,synt_h3000,synt_h4000,synt_h4500,synt_h4800,1000m_regDC,2000m_regDC,3000m_regDC,4000m_regDC,4500m_regDC,4800m_regDC
0,0.0041633,0.0033426,0.002514,0.0016793,0.0008407,0.00042,0.0001682,0.00230801,-0.001523079,-0.01397619,-0.08170848,-0.1990303,-0.352949
1000,0.004334,0.0034803,0.0026177,0.0017488,0.0008756,0.000438,0.0001751,0.002948875,0.002738766,0.007688791,0.04860202,0.1242343,0.2267697
2000,0.0045153,0.0036263,0.002728,0.0018227,0.0009125,0.000456,0.0001826,0.002957208,0.0009844873,-0.0014452,-0.00816561,-0.01723404,-0.03133418
3000,0.0047083,0.0037819,0.0028454,0.0019013,0.0009519,0.000476,0.0001904,0.003214384,0.001825651,-0.0008601586,-0.01395822,-0.03967761,-0.07381901
4000,0.0049137,0.0039477,0.0029705,0.001985,0.000994,0.000497,0.0001989,0.003351185,0.001762274,0.001286787,0.009463411,0.02905039,0.05783404
5000,0.0051328,0.0041245,0.003104,0.0020745,0.0010387,0.00052,0.0002078,0.003570133,0.001993135,-0.0001309476,-0.004929298,-0.0109373,-0.01925435
6000,0.0053667,0.0043132,0.0032466,0.00217,0.0010867,0.000544,0.0002174,0.00375105,0.002130554,0.0006875304,-0.001342992,-0.004946293,-0.009811659
7000,0.0056168,0.0045152,0.0033991,0.0022724,0.001138,0.000569,0.0002277,0.003976997,0.002317684,0.0005876213,-0.0002698886,0.001654598,0.005711406
8000,0.0058847,0.0047316,0.0035628,0.002382,0.001193,0.000597,0.0002388,0.004192069,0.002487696,0.0008110618,-0.001067399,-0.002244797,-0.003418964
9000,0.006172,0.0049639,0.0037383,0.0024997,0.0012519,0.000626,0.0002504,0.004440989,0.002693347,0.0009054194,-0.001080842,-0.002854656,-0.004830687
10000,0.0064806,0.0052135,0.0039272,0.0026264,0.0013156,0.000658,0.0002633,0.004690274,0.002877599,0.001066231,-0.0005903631,-0.0008583857,-0.0002653079
11000,0.006813,0.0054823,0.0041307,0.0027628,0.0013841,0.000692,0.000277,0.004973056,0.003116064,0.001231485,-0.0007231227,-0.001815938,-0.002648867
12000,0.0071711,0.0057723,0.0043502,0.0029102,0.001458,0.000729,0.0002918,0.005263655,0.003331674,0.001407393,-0.0004458423,-0.001349955,-0.001912248
13000,0.007558,0.0060859,0.0045876,0.0030695,0.0015382,0.000769,0.0003078,0.005586828,0.003588688,0.001535955,-0.000677973,-0.001950236,-0.002822575
14000,0.0079769,0.0064254,0.0048449,0.0032424,0.001625,0.000813,0.0003253,0.005928673,0.003851647,0.001780278,-0.0001855622,-0.0009850899,-0.001291481
15000,0.0084312,0.0067939,0.0051244,0.0034302,0.0017193,0.00086,0.0003442,0.006305453,0.004150118,0.001965606,-0.0002212223,-0.001324648,-0.002010776
16000,0.0089249,0.007195,0.0054287,0.0036347,0.0018221,0.000912,0.0003648,0.006707195,0.004448084,0.002148332,-0.0003013644,-0.001720573,-0.002749116
17000,0.0094631,0.0076322,0.0057608,0.0038581,0.0019344,0.000968,0.0003873,0.007152321,0.004804794,0.002439631,0.0001876241,-0.000729884,-0.001066565
18000,0.0100507,0.0081103,0.0061241,0.0041025,0.0020573,0.001029,0.0004119,0.00763157,0.005165407,0.00266694,0.0001248492,-0.001192989,-0.002033628
19000,0.0106942,0.0086344,0.0065225,0.0043709,0.0021923,0.001097,0.0004389,0.008160457,0.005571231,0.002919003,0.0001129099,-0.0014895,-0.002646466
20000,0.0114009,0.0092104,0.0069612,0.0046664,0.002341,0.001172,0.0004687,0.008739549,0.006024856,0.003302247,0.0007773676,-0.0001388998,-0.0003248492
21000,0.0121789,0.0098457,0.0074452,0.0049929,0.0025054,0.001254,0.0005016,0.009377009,0.00650024,0.003532471,0.0002908237,-0.001704789,-0.003288098
22000,0.0130386,0.0105485,0.0079812,0.0053547,0.0026877,0.001345,0.0005381,0.0100828,0.007054738,0.003996571,0.00107439,-0.0001300794,-0.0005741875
23000,0.0139912,0.0113284,0.0085771,0.0057571,0.0028903,0.001447,0.0005788,0.01086486,0.007645369,0.004340116,0.000901884,-0.0009483618,-0.002186418
24000,0.0150507,0.0121973,0.0092415,0.0062065,0.003117,0.00156,0.0006244,0.01173548,0.008318067,0.004825964,0.001288393,-0.000493798,-0.001568567
25000,0.0162333,0.0131692,0.009986,0.0067103,0.0033712,0.001688,0.0006752,0.01270955,0.009065542,0.005329956,0.001563366,-0.0002740547,-0.001317417
26000,0.0175585,0.0142607,0.0108236,0.007278,0.0036579,0.001831,0.0007328,0.01380119,0.009902452,0.005893169,0.001789873,-0.000308052,-0.001595527
27000,0.0190499,0.015492,0.0117702,0.0079206,0.0039827,0.001994,0.0007981,0.01503398,0.0108527,0.006537924,0.002107374,-0.0001818965,-0.001619025
28000,0.0207359,0.0168877,0.0128458,0.0086517,0.0043526,0.00218,0.0008722,0.01642938,0.01192687,0.007279668,0.002585579,0.00031691,-0.0009474512
29000,0.0226512,0.0184783,0.0140743,0.0094885,0.0047764,0.002392,0.0009574,0.01802021,0.01315605,0.008104904,0.0029169,0.00027676,-0.001320699
30000,0.0248385,0.0203011,0.0154867,0.0104524,0.0052653,0.002638,0.0010556,0.01984165,0.01456053,0.009043481,0.003277872,0.0002113746,-0.001792851
31000,0.0273505,0.022403,0.0171204,0.0115699,0.0058331,0.002923,0.0011697,0.0219444,0.01620317,0.0102132,0.004180118,0.001347967,-0.0001252511
32000,0.0302523,0.0248429,0.0190241,0.0128762,0.0064977,0.003256,0.0013032,0.02438112,0.01809286,0.01146087,0.004516439,0.0008701873,-0.001445408
33000,0.0336267,0.0276958,0.02126,0.0144154,0.0072822,0.003651,0.0014612,0.02723171,0.02032446,0.01300172,0.005378226,0.001455934,-0.0009808182
